,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,International Reputation,Work Rate,Height,Weight
0,L. Goretzka,27,Germany,87,FC Bayern München,€91M,€115K,Right,4.0,High/ Medium,189cm,82.0
1,Bruno Fernandes,27,Portugal,86,Manchester United,€78.5M,€190K,Right,3.0,High/ High,179cm,69.0
2,M. Acuña,30,Argentina,85,Sevilla FC,€46.5M,€46K,Left,2.0,High/ High,172cm,69.0
3,K. De Bruyne,31,Belgium,91,Manchester City,€107.5M,€350K,Right,4.0,High/ High,181cm,70.0
4,N. Barella,25,Italy,86,Inter,€89.5M,€110K,Right,3.0,High/ High,172cm,68.0
5,J. Kimmich,27,Germany,89,FC Bayern München,€105.5M,€130K,Right,4.0,High/ Medium,177cm,75.0
6,D. Alaba,30,Austria,86,Real Madrid CF,€55.5M,€220K,Left,4.0,Medium/ Medium,180cm,78.0
7,22 Paulinho,32,Brazil,83,Al Ahli,€28.5M,€61K,Right,3.0,High/ High,183cm,80.0
8,E. Can,28,Germany,82,Borussia Dortmund,€30.5M,€63K,Right,3.0,Medium/ High,186cm,86.0
9,João Cancelo,28,Portugal,88,Manchester City,€82.5M,€250K,Right,3.0,High/ Medium,182cm,74.0
10,L. Pellegrini,26,Italy,84,Roma,€55M,€95K,Right,2.0,High/ High,186cm,77.0
11,L. Modrić,36,Croatia,88,Real Madrid CF,€29M,€230K,Right,4.0,Medium/ Medium,172cm,66.0
12,S. Milinković-Savić,27,Serbia,86,Lazio,€77.5M,€90K,Right,3.0,High/ Medium,191cm,76.0
13,Merino,26,Spain,83,Real Sociedad,€47M,€49K,Left,1.0,High/ High,189cm,83.0
14,Marcos Llorente,27,Spain,84,Atlético de Madrid,€48M,€81K,Right,3.0,High/ Medium,184cm,74.0
15,R. De Paul,28,Argentina,84,Atlético de Madrid,€42M,€85K,Right,1.0,High/ Medium,180cm,70.0
16,I. Perišić,33,Croatia,84,Tottenham Hotspur,€26.5M,€130K,Right,3.0,High/ Medium,186cm,80.0
17,F. de Jong,25,Netherlands,87,FC Barcelona,€116.5M,€230K,Right,3.0,High/ Medium,180cm,74.0
18,A. Griezmann,31,France,83,Atlético de Madrid,€30.5M,€185K,Left,4.0,Medium/ Medium,176cm,73.0
19,J. Cuadrado,34,Colombia,83,Juventus,€13.5M,€120K,Right,3.0,High/ Medium,179cm,72.0
20,F. Kostić,29,Serbia,85,Eintracht Frankfurt,€53M,€56K,Left,3.0,High/ High,184cm,84.0
21,T. Alexander-Arnold,23,England,87,Liverpool,€100.5M,€150K,Right,3.0,High/ Medium,180cm,69.0
22,L. Suárez,35,Uruguay,84,Club Nacional de Football,€18M,€1K,Right,4.0,High/ Medium,182cm,86.0
23,A. Hakimi,23,Morocco,84,Paris Saint-Germain,€53.5M,€90K,Right,2.0,High/ Medium,181cm,73.0
24,M. Brozović,29,Croatia,86,Inter,€58M,€110K,Right,3.0,Medium/ Medium,181cm,68.0
25,M. Salah,30,Egypt,90,Liverpool,€115.5M,€270K,Left,4.0,High/ Medium,175cm,71.0
26,S. Tonali,22,Italy,84,AC Milan,€62.5M,€75K,Right,1.0,Medium/ High,181cm,79.0
27,Thiago,31,Spain,86,Liverpool,€55.5M,€180K,Right,3.0,Medium/ Medium,174cm,70.0
28,R. James,22,England,84,Chelsea,€57M,€120K,Right,2.0,High/ Medium,178cm,87.0
29,Jordi Alba,33,Spain,85,FC Barcelona,€28M,€190K,Left,3.0,High/ Medium,170cm,68.0
30,T. Lemar,26,France,83,Atlético de Madrid,€47M,€74K,Left,3.0,High/ High,171cm,63.0
31,Renato Sanches,24,Portugal,80,Paris Saint-Germain,€33M,€72K,Right,3.0,High/ High,176cm,70.0
32,Canales,31,Spain,84,Real Betis Balompié,€35M,€42K,Left,2.0,High/ Medium,176cm,65.0
33,I. Bennacer,24,Algeria,82,AC Milan,€40M,€63K,Left,2.0,High/ Medium,175cm,70.0
34,Alex Telles,29,Brazil,80,Sevilla FC,€18.5M,€110K,Left,3.0,High/ Low,181cm,71.0
35,R. Malinovskyi,29,Ukraine,82,Atalanta,€30.5M,€73K,Left,3.0,Medium/ Medium,181cm,79.0
36,W. McKennie,23,United States,80,Juventus,€31.5M,€90K,Right,2.0,High/ High,183cm,84.0
37,Casemiro,30,Brazil,89,Real Madrid CF,€86M,€300K,Right,3.0,Medium/ High,185cm,84.0
38,Angeliño,25,Spain,83,TSG Hoffenheim,€42M,€64K,Left,2.0,High/ High,171cm,69.0
39,F. Kessié,25,Côte d'Ivoire,84,FC Barcelona,€47.5M,€165K,Right,3.0,High/ High,183cm,88.0
40,L. Digne,28,France,82,Aston Villa,€27.5M,€100K,Left,2.0,High/ Medium,178cm,74.0
41,R. Lewandowski,33,Poland,91,FC Barcelona,€84M,€420K,Right,5.0,High/ Medium,185cm,81.0
42,22 A. Vidal,34,Chile,81,Inter,€12M,€105K,Right,4.0,High/ High,180cm,75.0
43,N. De la Cruz,25,Uruguay,78,River Plate,€16.5M,€19K,Right,1.0,High/ High,167cm,65.0
44,C. Nkunku,24,France,86,RB Leipzig,€94M,€90K,Right,3.0,High/ Medium,175cm,73.0
45,K. Walker,32,England,85,Manchester City,€37.5M,€170K,Right,3.0,High/ High,183cm,83.0
46,T. Hernández,24,France,85,AC Milan,€76M,€82K,Left,3.0,High/ Medium,184cm,81.0
47,İ. Gündoğan,31,Germany,85,Manchester City,€44M,€185K,Right,3.0,High/ Medium,180cm,80.0
48,B. Bourigeaud,28,France,81,Stade Rennais FC,€26M,€66K,Right,2.0,High/ High,178cm,68.0
49,R. Gosens,27,Germany,82,Inter,€29.5M,€59K,Left,3.0,High/ Medium,183cm,76.0
50,G. Wijnaldum,31,Netherlands,80,Roma,€17.5M,€83K,Right,3.0,High/ High,175cm,74.0
51,C. Tolisso,27,France,81,Olympique Lyonnais,€27.5M,€75K,Right,3.0,High/ Medium,181cm,81.0
52,H. Kane,28,England,89,Tottenham Hotspur,€105.5M,€240K,Right,4.0,High/ High,188cm,89.0
53,Koke,30,Spain,83,Atlético de Madrid,€34.5M,€74K,Right,3.0,Medium/ Medium,176cm,77.0
54,J. Tavernier,30,England,78,Rangers FC,€12M,€51K,Right,1.0,High/ Medium,182cm,75.0
55,J. Henderson,32,England,83,Liverpool,€28.5M,€135K,Right,3.0,High/ High,182cm,80.0
56,L. Messi,35,Argentina,91,Paris Saint-Germain,€54M,€195K,Left,5.0,Low/ Low,169cm,67.0
57,M. Verratti,29,Italy,87,Paris Saint-Germain,€77.5M,€155K,Right,3.0,Medium/ High,165cm,60.0
58,M. Uribe,31,Colombia,81,FC Porto,€21M,€19K,Right,1.0,Medium/ High,183cm,77.0
59,F. Valverde,23,Uruguay,84,Real Madrid CF,€66M,€175K,Right,1.0,High/ High,182cm,78.0
60,S. Mané,30,Senegal,89,FC Bayern München,€99.5M,€145K,Right,4.0,High/ Medium,174cm,69.0
61,L. Ocampos,27,Argentina,81,Sevilla FC,€27.5M,€39K,Right,2.0,High/ High,188cm,84.0
62,Lucas Paquetá,24,Brazil,82,Olympique Lyonnais,€46M,€70K,Left,2.0,High/ High,180cm,72.0
63,Sergi Darder,28,Spain,82,RCD Espanyol de Barcelona,€30.5M,€30K,Right,1.0,Medium/ Medium,180cm,71.0
